HomeTeam,AwayTeam, FTHG,FTAG,FTR
Arsenal,Aston Villa,5,0,H
Arsenal,Burnley,3,0,H
Arsenal,Chelsea,0,0,D
Arsenal,Crystal Palace,2,1,H
Arsenal,Everton,2,0,H
Arsenal,Hull City,2,2,D
Arsenal,Liverpool,4,1,H
Arsenal,Manchester City,2,2,D
Arsenal,Manchester United,1,2,A
Arsenal,Newcastle United,4,1,H
Arsenal,Southampton,1,0,H
Arsenal,Stoke City,3,0,H
Arsenal,Sunderland,0,0,D
Arsenal,Swansea City,0,1,A
Arsenal,Tottenham Hotspurs,1,1,D
Arsenal,West Bromwich Albion,4,1,H
Arsenal,West Ham United,3,0,H
Aston Villa,Arsenal,0,3,A
Aston Villa,Burnley,0,1,A
Aston Villa,Chelsea,1,2,A
Aston Villa,Crystal Palace,0,0,D
Aston Villa,Everton,3,1,H
Aston Villa,Hull City,2,1,H
Aston Villa,Liverpool,0,2,A
Aston Villa,Manchester City,0,2,A
Aston Villa,Manchester United,1,1,D
Aston Villa,Newcastle United,0,0,D
Aston Villa,Southampton,1,1,D
Aston Villa,Stoke City,1,2,A
Aston Villa,Sunderland,0,0,D
Aston Villa,Swansea City,0,1,A
Aston Villa,Tottenham Hotspurs,1,2,A
Aston Villa,West Bromwich Albion,2,1,H
Aston Villa,West Ham United,1,0,H
Burnley,Arsenal,0,1,A
Burnley,Aston Villa,1,1,D
Burnley,Chelsea,1,3,A
Burnley,Crystal Palace,2,3,A
Burnley,Everton,1,3,A
Burnley,Hull City,1,0,H
Burnley,Liverpool,0,1,A
Burnley,Manchester City,1,0,H
Burnley,Manchester United,0,0,D
Burnley,Newcastle United,1,1,D
Burnley,Southampton,1,0,H
Burnley,Stoke City,0,0,D
Burnley,Sunderland,0,0,D
Burnley,Swansea City,0,1,A
Burnley,Tottenham Hotspurs,1,2,A
Burnley,West Bromwich Albion,2,1,H
Burnley,West Ham United,1,0,H
Chelsea,Arsenal,2,0,H
Chelsea,Aston Villa,3,1,H
Chelsea,Burnley,1,1,D
Chelsea,Crystal Palace,1,0,H
Chelsea,Everton,1,0,H
Chelsea,Hull City,2,0,H
Chelsea,Liverpool,1,1,D
Chelsea,Manchester City,1,1,D
Chelsea,Manchester United,1,0,H
Chelsea,Newcastle United,2,0,H
Chelsea,Southampton,1,1,D
Chelsea,Stoke City,2,1,H
Chelsea,Sunderland,3,1,H
Chelsea,Swansea City,4,2,H
Chelsea,Tottenham Hotspurs,3,0,H
Chelsea,West Bromwich Albion,2,0,H
Chelsea,West Ham United,2,0,H
Crystal Palace,Arsenal,1,2,A
Crystal Palace,Aston Villa,0,1,A
Crystal Palace,Burnley,0,0,D
Crystal Palace,Chelsea,1,2,A
Crystal Palace,Everton,0,1,A
Crystal Palace,Hull City,0,2,A
Crystal Palace,Liverpool,3,1,H
Crystal Palace,Manchester City,2,1,H
Crystal Palace,Manchester United,1,2,A
Crystal Palace,Newcastle United,1,1,D
Crystal Palace,Southampton,1,3,A
Crystal Palace,Stoke City,1,1,D
Crystal Palace,Sunderland,1,3,A
Crystal Palace,Swansea City,1,0,H
