HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Aston Villa,1,3,A
Arsenal,Cardiff City,2,0,H
Arsenal,Chelsea,0,0,D
Arsenal,Crystal Palace,2,0,H
Arsenal,Everton,1,1,D
Arsenal,Fulham,2,0,H
Arsenal,Hull City,2,0,H
Arsenal,Liverpool,2,0,H
Arsenal,Manchester City,1,1,D
Arsenal,Manchester United,0,0,D
Arsenal,Newcastle United,3,0,H
Arsenal,Norwich City,4,1,H
Arsenal,Southampton,2,0,H
Arsenal,Stoke City,3,1,H
Arsenal,Sunderland,4,1,H
Arsenal,Swansea City,2,2,D
Arsenal,Tottenham Hotspurs,1,0,H
Arsenal,West Bromwich Albion,1,0,H
Arsenal,West Ham United,3,1,H
Aston Villa,Arsenal,1,2,A
Aston Villa,Cardiff City,2,0,H
Aston Villa,Chelsea,1,0,H
Aston Villa,Crystal Palace,0,1,A
Aston Villa,Everton,0,2,A
Aston Villa,Fulham,1,2,A
Aston Villa,Hull City,3,1,H
Aston Villa,Liverpool,0,1,A
Aston Villa,Manchester City,3,2,H
Aston Villa,Manchester United,0,3,A
Aston Villa,Newcastle United,1,2,A
Aston Villa,Norwich City,4,1,H
Aston Villa,Southampton,0,0,D
Aston Villa,Stoke City,1,4,A
Aston Villa,Sunderland,0,0,D
Aston Villa,Swansea City,1,1,D
Aston Villa,Tottenham Hotspurs,0,2,A
Aston Villa,West Bromwich Albion,4,3,H
Aston Villa,West Ham United,0,2,A
Cardiff City,Arsenal,0,3,A
Cardiff City,Aston Villa,0,0,D
Cardiff City,Chelsea,1,2,A
Cardiff City,Crystal Palace,0,3,A
Cardiff City,Everton,0,0,D
Cardiff City,Fulham,3,1,H
Cardiff City,Hull City,0,4,A
Cardiff City,Liverpool,3,6,A
Cardiff City,Manchester City,3,2,H
Cardiff City,Manchester United,2,2,D
Cardiff City,Newcastle United,1,2,A
Cardiff City,Norwich City,2,1,H
Cardiff City,Southampton,0,3,A
Cardiff City,Stoke City,1,1,D
Cardiff City,Sunderland,2,2,D
Cardiff City,Swansea City,1,0,H
Cardiff City,Tottenham Hotspurs,0,1,A
Cardiff City,West Bromwich Albion,1,0,H
Cardiff City,West Ham United,0,2,A
Chelsea,Arsenal,6,0,H
Chelsea,Aston Villa,2,1,H
Chelsea,Cardiff City,4,1,H
Chelsea,Crystal Palace,2,1,H
Chelsea,Everton,1,0,H
Chelsea,Fulham,2,0,H
Chelsea,Hull City,2,0,H
Chelsea,Liverpool,2,1,H
Chelsea,Manchester City,2,1,H
Chelsea,Manchester United,3,1,H
Chelsea,Newcastle United,3,0,H
Chelsea,Norwich City,0,0,D
Chelsea,Southampton,3,1,H
Chelsea,Stoke City,3,0,H
Chelsea,Sunderland,1,2,A
Chelsea,Swansea City,1,0,H
Chelsea,Tottenham Hotspurs,4,0,H
Chelsea,West Bromwich Albion,2,2,D
Chelsea,West Ham United,0,0,D
Crystal Palace,Arsenal,0,2,A
Crystal Palace,Aston Villa,1,0,H
